headline,category,publish_date,access_date,video,url
These are the companies pulling their ads from Facebook over its hate policies,business,2020-06-22,2020-06-27,False,/2020/06/22/business/facebook-boycott-trnd/index.html
"Teen TikTok star has died, her manager confirms",entertainment,2020-06-26,2020-06-27,False,/2020/06/26/entertainment/siya-kakkar-tiktok-dies-scli-intl/index.html
Video shows encounter between woman and mom with young child at yogurt shop,us,2020-06-26,2020-06-27,True,/videos/us/2020/06/26/woman-coughs-on-baby-social-distancing-orig-mss.cnn
Paralympian dies trying to row to Hawaii,us,2020-06-26,2020-06-27,False,/2020/06/26/us/angela-madsen-obit-spt-trnd/index.html
Atlanta hospital sterilizes instruments with bottled water after main break ,us,2020-06-27,2020-06-27,False,/2020/06/27/us/atlanta-water-main-break-outages/index.html
'I should have killed you': Convicted killer lashes out at witness in court,us,2020-06-24,2020-06-27,True,/videos/us/2020/06/24/portland-train-stabbing-killer-court-outburst-mxp-vpx.hln
Mississippi Legislature starts process to change state's flag,politics,2020-06-27,2020-06-27,False,/2020/06/27/politics/mississippi-confederate-flag-vote/index.html
Princeton to remove Woodrow Wilson's name from building,us,2020-06-27,2020-06-27,False,/2020/06/27/us/woodrow-wilson-princeton-university-trnd/index.html
Experts say there's another hidden form of systemic racism lurking in communities of color,us,2020-06-27,2020-06-27,False,/2020/06/27/us/environmental-racism-explainer-trnd/index.html
How the term 'Dixie' came to define the South,us,-www.cnn.com-2020,2020-06-27,False,http://www.cnn.com/2020/06/27/us/dixie-term-south-racism-black-lives-matter-trnd/index.html
The BLM movement is spreading worldwide. Why that matters,us,2020-06-25,2020-06-27,True,/videos/world/2020/06/25/go-there---global-black-lives-matter-protests.cnn
Some of your favorite mall stores announced closures this month. Here's the list,business,2020-06-27,2020-06-27,False,/2020/06/27/business/stores-closing-coronavirus-june/index.html
"Costco, Target and other stores relax coronavirus safety policies",business,2020-06-18,2020-06-27,False,/2020/06/18/business/costco-target-kroger-relax-policies/index.html
Gap will sell Kanye West's Yeezy line,investing,2020-06-26,2020-06-27,False,/2020/06/26/investing/yeezy-gap-kanye-west/index.html
Mike Henry will no longer voice Cleveland on 'Family Guy' ,entertainment,2020-06-27,2020-06-27,False,/2020/06/27/entertainment/mike-henry-cleveland-family-guy-trnd/index.html
New Delhi on high alert after desert locusts swarm neighboring city,india,2020-06-27,2020-06-27,False,/2020/06/27/india/india-desert-locusts-gurgaon-intl/index.html
Must-watch videos of the week,india,26-app-news-section-videos-of-the-week-mobile-june-26,2020-06-27,True,/2020/06/26/app-news-section/videos-of-the-week-mobile-june-26/index.html
"Broadway actor fighting coronavirus suffers setback, wife says",entertainment,2020-06-26,2020-06-27,False,/2020/06/26/entertainment/amanda-kloots-nick-cordero-infection/index.html
"This Dollar General worker witnessed 3 armed robberies. The 4th time, he had a gun",business,2020-06-26,2020-06-27,False,/2020/06/26/business/dollar-general-robberies/index.html
Some of your favorite mall stores are closing this June. Here's the list,business,2020-06-27,2020-06-27,False,/2020/06/27/business/stores-closing-coronavirus-june/index.html
"Ford's powerful new F-150 offers fully reclining seats, a workbench and a bottle opener",success,2020-06-25,2020-06-27,False,/2020/06/25/success/2021-ford-f-150-pickup-truck-unveiled/index.html
Bubba Wallace is 'wore the hell out' after noose investigation,sports,-bleacherreport.com-articles,2020-06-27,False,https://bleacherreport.com/articles/2897910-bubba-wallace-says-hes-wore-the-hell-out-after-nascar-noose-investigation?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial
"'It's about money, clearly': NBA insiders question motives to return",sports,-bleacherreport.com-articles,2020-06-27,False,https://bleacherreport.com/articles/2897911-its-about-money-clearly-nba-insiders-question-leagues-motives-to-return?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial
Winners and losers from NBA's schedule release,sports,-bleacherreport.com-articles,2020-06-27,False,https://bleacherreport.com/articles/2897720-biggest-winners-and-losers-from-nbas-schedule-release?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial
